method,p90_e180,p90_e365,p90_e730,p180_e180,p180_e365,p180_e730,p365_e180,p365_e365,p365_e730,mean
CAPRA-S,0.44145463019914155,0.46525202026597023,0.48755977022426633,0.44145463019914155,0.46525202026597023,0.48755977022426633,0.44145463019914155,0.46525202026597023,0.48755977022426633,0.464755473563126
MSKCC,0.5641943401960373,0.6305516742222289,0.6154244602814649,0.5641943401960373,0.6305516742222289,0.6154244602814649,0.5641943401960373,0.6305516742222289,0.6154244602814649,0.6033901582332437
CoxPH,0.7926871744847264,0.7728372683126065,0.7557879581152913,0.7926871744847264,0.7728372683126065,0.7557879581152913,0.7926871744847264,0.7728372683126065,0.7557879581152913,0.7737708003042081
RSF,0.7788660846241343,0.7582027684237064,0.7390156734343625,0.7788660846241343,0.7582027684237064,0.7390156734343625,0.7788660846241343,0.7582027684237064,0.7390156734343625,0.7586948421607344
DDH,0.7167951445546977,0.6964490415723552,0.3012151169707943,-1.0,0.7121567440396489,0.3051414861531608,-1.0,-1.0,0.3141216843123205,0.5076465362671629
