method,p45_e90,p45_e180,p45_e365,p90_e90,p90_e180,p90_e365,p180_e90,p180_e180,p180_e365,mean
CAPRA-S,0.5068344630234227,0.4135927991243848,0.4122018031881481,0.5068344630234227,0.4135927991243848,0.4122018031881481,0.5068344630234227,0.4135927991243848,0.4122018031881481,0.4442096884453185
MSKCC,0.5835635983013807,0.5092167655303868,0.4964078038645341,0.5835635983013807,0.5092167655303868,0.4964078038645341,0.5835635983013807,0.5092167655303868,0.4964078038645341,0.5297293892321006
CoxPH,0.5649560866655028,0.5144733934048166,0.5064915416919062,0.5649560866655028,0.5144733934048166,0.5064915416919062,0.5649560866655028,0.5144733934048166,0.5064915416919062,0.5286403405874085
RSF,0.6198647522929229,0.5719316344748211,0.5217840203969114,0.6198647522929229,0.5719316344748211,0.5217840203969114,0.6198647522929229,0.5719316344748211,0.5217840203969114,0.5711934690548852
DDH,0.640706126687435,0.6165899992630752,0.3345394268546393,-1.0,0.5927077430385294,0.3323226088766874,-1.0,-1.0,0.2724773692915941,0.46489054566866
BertPCa (pipeline),0.407061,0.44378,0.292939,-1.0,0.491399,0.286633,-1.0,-1.0,0.22245,0.357377
