method,p30_e90,p30_e180,p30_e365,p60_e90,p60_e180,p60_e365,p90_e90,p90_e180,p90_e365,mean,p90_e270,p120_e180,p120_e270,p120_e365,p180_e180,p180_e270,p180_e365
CAPRA-S,0.4921132215491631,0.4896768158836819,0.4896768158836819,0.4921132215491631,0.4896768158836819,0.4896768158836819,0.4921132215491631,0.4896768158836819,0.4896768158836819,0.490488951105509,,,,,,,
MSKCC,0.5980359814283224,0.5891656429286877,0.5891656429286877,0.5980359814283224,0.5891656429286877,0.5891656429286877,0.5980359814283224,0.5891656429286877,0.5891656429286877,0.5921224224285658,,,,,,,
CoxPH,0.7565869506523606,0.7465968883812353,0.7465968883812353,0.7565869506523606,0.7465968883812353,0.7465968883812353,0.7565869506523606,0.7465968883812353,0.7465968883812353,0.749926909138277,,,,,,,
RSF,0.758347906073972,0.7340396424703914,0.7340396424703914,0.758347906073972,0.7340396424703914,0.7340396424703914,0.758347906073972,0.7340396424703914,0.7340396424703914,0.7421423970049182,,,,,,,
DDH,0.7669015300354469,0.7369994806169546,0.3611832416855848,0.7666639407224941,0.7227252795126863,0.2767601929383861,-1.0,0.6666666666666667,0.7777777777777778,0.4528531233284441,,,,,,,
BertPCa (pipeline),,,,,,,,0.888889,0.888889,-0.37037,0.888889,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
